"date","1W_fcst","2W_fcst","1M_fcst","2M_fcst","3M_fcst","6M_fcst","1Y_fcst","2Y_fcst"
2019-03-31,16.7531067447606,16.7531067447606,16.7531067447606,16.7531067447606,16.7531067447606,16.7531067447606,16.7531067447606,16.7531067447606
2019-04-30,14.1020307698735,14.0992631407217,14.0928905294514,14.0815119078114,14.0706722978064,14.0411765311907,13.9939274554204,13.9329401093149
2019-05-31,12.0554252348256,12.0498351010975,12.0369830606324,12.0141017923695,11.9923823029367,11.9336522440417,11.8406411806214,11.7223684768667
2019-06-30,10.4152279643284,10.4072650483901,10.3889729993906,10.3564583780991,10.3256553461982,10.242653314936,10.1120432483594,9.94737854874774
2019-07-31,9.11577541208334,9.10573416203727,9.08268349928642,9.04176384220118,9.00306100356139,8.89907289186458,8.7363140757263,8.5326037428469
2019-08-31,8.07254289577292,8.06080311588762,8.03386612072929,7.98609128930576,7.94095616598832,7.81993275633643,7.63123155167431,7.39628232949361
2019-09-30,7.24002601561374,7.22686924084678,7.19669234552267,7.14321037412627,7.09272937478684,6.95759239729296,6.74752976140306,6.48708880988853
2019-10-31,6.58908922625177,6.57471176221663,6.54174408952913,6.4833470721012,6.42826328272619,6.28098003201613,6.05254981513553,5.77021859493268
2019-11-30,6.07912222612229,6.06367771017968,6.02827204998825,5.96558660480626,5.90649310052006,5.74865900898601,5.50436398019691,5.20328462787311
2019-12-31,5.66552762275543,5.64925189671411,5.61194745619852,5.54592328442412,5.48370950608881,5.31767207615299,5.0610632025022,4.74546962193825
2020-01-31,5.34077356543891,5.32379059870718,5.28487090792019,5.2160077247171,5.15114207736648,4.97813949848665,4.71109545747444,4.38323775077666
2020-02-29,5.09563437811112,5.07799868800829,5.03758844804856,4.96610608677006,4.89879468968126,4.71937211041296,4.44272090189551,4.10359228047475
2020-03-31,4.90792671647879,4.88972388065274,4.84801840002394,4.77425965781352,4.70482213888394,4.51981628102028,4.23480317961056,3.88585236789858
2020-04-30,4.77877694505867,4.76002072989291,4.71705057709381,4.64106617952356,4.56954635929016,4.37905501343076,4.08577491643512,3.72702136040245
2020-05-31,4.66557199131758,4.6464104573976,4.60251476374212,4.52490414895006,4.4518659499922,4.25738968965216,3.95814869785195,3.5924060690543
2020-06-30,4.53618161539244,4.51687803560443,4.47265970462661,4.39448813312088,4.32093321380184,4.12513505644005,3.82401880522341,3.45625994034062
2020-07-31,4.42505669231916,4.40568093402482,4.3612992522096,4.28284572009573,4.20903353448663,4.01258934439396,3.71059372909223,3.34195930837615
2020-08-31,4.30767024217357,4.28839982426774,4.2442597937748,4.16623466783918,4.09282700486041,3.89746646243902,3.59715749760596,3.23061798196599
2020-09-30,4.21382707334825,4.19463753655424,4.15068326139165,4.07298818005233,3.99989302299535,3.80537377072759,3.506386343371,3.1415090343373
2020-10-31,4.13249427369844,4.11341837442831,4.06972384269533,3.99248601481919,3.91981882481873,3.72642778439021,3.42914303066384,3.06628892576546
2020-11-30,4.08536202564424,4.06627865505273,4.02256710999927,3.94529955200275,3.87260479682374,3.67914235329802,3.38175359732674,3.01878256732264
2020-12-31,4.04585485955918,4.02676891121441,3.98305180200858,3.90577557659153,3.83307404463145,3.63960021230305,3.34221351366836,2.97927901446919
2021-01-31,4.01710919199517,3.99800233692726,3.95423787605818,3.87687978958539,3.80410341246735,3.61044086933097,3.31279491923748,2.94959761194066
2021-02-28,3.99717556537542,3.97803653611598,3.93419879927315,3.85671262958328,3.78381745295793,3.58984696718943,3.2917518421578,2.92804837141203
2021-03-31,3.99023119431247,3.97103401880317,3.9270628357966,3.84933988886913,3.77622089989607,3.58164972729447,3.28261635061623,2.91774184166285
2021-04-30,3.99846303279601,3.97914295155829,3.93489051051617,3.8566713003143,3.7830864884095,3.58728078759827,3.28636491092202,2.91921920098371
2021-05-31,4.03054450360751,4.01100786239078,3.96625923615235,3.88716244632243,3.81275141533849,3.61474412092207,3.31043579661016,2.93913529283441
2021-06-30,4.06660906969588,4.04685496543925,4.00160776872939,3.92162809565117,3.84638457358668,3.64615280804662,3.33839866008114,2.96284655237004
2021-07-31,4.12256771512607,4.1024954008767,4.05651950604375,3.97525235329648,3.89879827487022,3.69534837166482,3.38265767541666,3.00109836468445
2021-08-31,4.19849293512002,4.17801219970154,4.13110099505506,4.04818121746921,3.97017313692601,3.76259151667193,3.44356119851114,3.05428440815297
2021-09-30,4.27615815716429,4.25524690759905,4.2073508246774,4.12269436012994,4.04305738706696,3.83116499023251,3.50557939885596,3.10842555381821
2021-10-31,4.34654164594699,4.32524484545951,4.27646663886168,4.19025431270714,4.10915761475044,3.89340003385403,3.56193055104349,3.15769547845858
2021-11-30,4.42915959972632,4.40742403342656,4.35764166808603,4.26965727069851,4.18689685358717,3.96672839989118,3.62852795816897,3.21616346154142
2021-12-31,4.53757081590891,4.51527894266663,4.46422291569693,4.37398913436957,4.28911484757168,4.06333229772906,3.71653589284293,3.29373887038509
2022-01-31,4.64898778165441,4.62612796991549,4.57377159323982,4.48124109665135,4.39420822643959,4.16269169844166,3.80711244243577,3.37365026011282
2022-02-28,4.77404445972933,4.75054916270003,4.69673783974046,4.60163777510037,4.51219011517996,4.27426017334076,3.90886072532998,3.46347959467044
2022-03-31,4.97856278083297,4.95405027996796,4.8979093133441,4.79869230580051,4.7053726429504,4.45714438557545,4.0759328266146,3.61128452717889
2022-04-30,5.8079479327066,5.77917667745254,5.71329007800624,5.59687788758069,5.48741826744048,5.19641810936761,4.74999177285148,4.20667530618112
2022-05-31,6.30335584777043,6.27285048082438,6.20296655836262,6.07940178440339,5.9631107025479,5.65343705886476,5.17685500808316,4.59420955454446
2022-06-30,6.40727014859876,6.37690287667325,6.30731021401918,6.18417429450644,6.06818526544192,5.75882619810265,5.28128745940797,4.69496990671047
2022-07-31,6.27801603352026,6.24882378239935,6.18190072891614,6.06340882353304,5.95170054970298,5.6533072969395,5.19136949426811,4.62190992990019
2022-08-31,6.12942655976138,6.10139093410031,6.03709970219141,5.92319993879569,5.81574121858554,5.52831565251739,5.08223160475438,4.53037322037064
2022-09-30,5.9608081071014,5.93396161078153,5.87237905906016,5.76321555865943,5.66015172581971,5.38412762032679,4.95470246409365,4.42166851406288
2022-10-31,5.81879157317191,5.79294642546526,5.73364480164439,5.62846957481213,5.52910650133332,5.26268285954472,4.84728436453437,4.33009905716853
2022-11-30,5.70307296546902,5.67804054444071,5.62059029049794,5.51865257151191,5.42229400759425,5.1636665507413,4.7596644029132,4.25536639007033
2022-12-31,5.6154118755215,5.59100730500881,5.53498683972501,5.43554789315761,5.34150646597257,5.08888276200404,4.69363018914441,4.19917774982822
2023-01-31,5.55612227880365,5.53214682779661,5.47710363618165,5.37937279711078,5.28691552224881,5.03839740590214,4.64913117986652,4.16142057682599
2023-02-28,5.51164632828856,5.48801336220685,5.43374943823025,5.33737819191451,5.24617894272795,5.00090699628088,4.61633105643598,4.13382393462887
2023-03-31,5.48568119714526,5.462277530794,5.40853466064594,5.31307015147016,5.22270709630909,4.97957907397894,4.59805903199127,4.11886486444479
2023-04-30,5.46307444395262,5.43987251406076,5.3865879221931,5.29192041833262,5.20229177548617,4.96104382992253,4.58219477857294,4.10587972986644
2023-05-31,5.43791806745831,5.41491148767298,5.36207135344986,5.26817919679525,5.17926785935542,4.93987023638785,4.56369286610528,4.09033851246439
2023-06-30,5.42185848742761,5.39896641564417,5.3463870957557,5.25295091759429,5.16446261149249,4.92616204079166,4.55158638935615,4.08003976242049
2023-07-31,5.41947204007665,5.39664251940233,5.34420441646087,5.25101079277629,5.16274234785795,4.92498666651382,4.55113020082829,4.08025545211623
2023-08-31,5.45347009743061,5.43052066161025,5.37780602415577,5.28411718765699,5.19537529971175,4.95632328231473,4.58036706134009,4.10674337571438
2023-09-30,5.62417645978719,5.60040362309287,5.54580297078935,5.4487803923199,5.35690218608669,5.1095041076868,4.7207202152982,4.23144317357852
2023-10-31,5.89551301337357,5.87040405134647,5.81274408328033,5.71031761139351,5.61335999825,5.35246666209107,4.94300438817655,4.42860430005166
2023-11-30,6.17764073155854,6.15122343396621,6.09056413664947,5.98282721939694,5.88086327083456,5.6065975212123,5.17643487541992,4.63651829926586
2023-12-31,6.45759726766026,6.42978365062744,6.36592807700119,6.25254831448315,6.14528386262379,5.85695236858108,5.40528713484061,4.83933325602388
2024-01-31,6.71263056927807,6.68353443606656,6.61674337779145,6.49818217126605,6.38605179197934,6.08481341000366,5.61343380258984,5.02363706224663
2024-02-29,6.90920860996949,6.87911564272154,6.81004330090181,6.68745647782495,6.57154690658314,6.26029044276776,5.77362733184958,5.1653787259255
2024-03-31,7.05012104153844,7.01929596222369,6.94854904824603,6.82301027735203,6.70433306116872,6.38575739203799,5.88797962464923,5.26640239620404
2024-04-30,7.16076820200378,7.12939867530337,7.05740515097074,6.92966442353493,6.80891749792464,6.48484303561736,5.97864001094426,5.34682724101479
2024-05-31,7.2477070440507,7.21593368644417,7.14301452956278,7.01363541063343,6.89134448574952,6.56314858185586,6.05057361660662,5.41092025640258
2024-06-30,7.33583549539138,7.30369793286932,7.22994188101932,7.09907426846717,6.97537216164862,6.6433686792212,6.12478766247031,5.47753757276493
2024-07-31,7.45382516506796,7.42127171514463,7.34655620795285,7.213969112774,7.08862158987302,6.75210555883325,6.22619460692708,5.56931425395596
2024-08-31,7.59301977771476,7.55994524883602,7.48402942502746,7.34929737917277,7.2219044999004,6.87981323838994,6.34494374747663,5.67645396849167
2024-09-30,7.75068637824237,7.71695484539098,7.63952947267447,7.50211310376345,7.37217596467049,7.02322297941178,6.47753875231768,5.79538509002568
2024-10-31,7.92735753022575,7.89283167731552,7.81358434527473,7.67293869118887,7.53995316307973,7.18283821360539,6.62446239231965,5.92656599171673
2024-11-30,8.13824907681136,8.10282956231375,8.02152977308142,7.87723726281693,7.74079854369906,7.37438671370553,6.8014051103162,6.08513472991574
2024-12-31,8.41586855858525,8.37925549267005,8.29521522333301,8.14605585610671,8.00501166051815,7.62621473290661,7.03381646264611,6.29318951188766
2025-01-31,8.66470745028004,8.62699381979438,8.54042814573761,8.38678925580198,8.24151242993899,7.85136335143778,7.24125603248136,6.47856499229987
2025-02-28,8.73391657585718,8.69584099701924,8.60844751761431,8.45334965919477,8.30670530074483,7.9129413750129,7.29734965593055,6.52809049763062
2025-03-31,8.77624728162978,8.73788648970639,8.64984327897819,8.49360914834715,8.34591019686981,7.94940931179639,7.32981532115993,6.55602768111402
2025-04-30,8.80184330253179,8.76320823412362,8.6745435018497,8.51723380693747,8.36855016470616,7.96956003861885,7.34652615249952,6.56921218290606
2025-05-31,8.81626848755833,8.77747260394893,8.68844351536861,8.53050348858735,8.38124301064008,7.9807958668929,7.35575220648477,6.57638509331413
2025-06-30,8.80229867282771,8.76345960307775,8.67433673359942,8.51624857348699,8.36686953330154,7.96620722419765,7.34112824914997,6.56223176278038
2025-07-31,8.72304900954557,8.68448508074395,8.59599727642951,8.43904831133003,8.29076063601895,7.89309727580283,7.2729064356138,6.50045976894809
2025-08-31,8.56123165629984,8.52330902804531,8.43629664356933,8.28197798993272,8.13619120975872,7.74531010920079,7.13591765471962,6.37729889121699
2025-09-30,8.35485719614726,8.31780541657374,8.23279355563118,8.0820310570533,7.93961343238036,7.55781182956678,6.9627094278244,6.22211133472451
